City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
511,novodvinsk,64.4165,40.8122,-14.14,100,73,1.18,RU,1703899842
512,souillac,-20.5167,57.5167,25.21,78,75,0,MU,1703899843
513,suva,-18.1416,178.4415,30.71,70,40,5.14,FJ,1703899843
514,chubbuck,42.9208,-112.4661,-1.06,80,0,0,US,1703899844
515,ola,59.5833,151.2833,-24.61,78,97,4.49,RU,1703899844
516,titz,51.0062,6.4248,9.24,85,59,3.58,DE,1703899845
517,casper,42.8666,-106.3131,1.33,55,0,7.72,US,1703899845
518,derazhnya,49.2692,27.4338,3.93,88,43,3.9,UA,1703899846
519,ugoofaaru,5.6667,73,27.35,81,98,7.39,MV,1703899846
520,mounana,-1.4085,13.1586,21.79,93,100,0.75,GA,1703899847
521,pakhtakoron,40.1571,68.7466,-1.17,86,46,1.93,TJ,1703899848
522,shenjiamen,29.9576,122.298,13.22,80,4,4.94,CN,1703899848
523,west plains,36.7281,-91.8524,2.46,83,100,3.13,US,1703899849
524,hasaki,35.7333,140.8333,12.38,71,58,3.31,JP,1703899850
525,selfoss,63.9331,-20.9971,-6.09,91,97,3.06,IS,1703899850
526,tver,56.8619,35.8931,0.72,100,100,2.68,RU,1703899851
527,kande,9.9578,1.0447,20.6,20,8,1.14,TG,1703899852
528,buala,-8.145,159.5921,29.07,78,95,1.44,SB,1703899852
529,broken hill,-31.95,141.4333,23.93,21,0,7.6,AU,1703899853
530,sinabang,2.4803,96.3801,26.75,84,100,1.83,ID,1703899853
531,kandi,11.1342,2.9386,19.07,20,1,2.13,BJ,1703899854
532,labrador city,52.9463,-66.9114,-7.05,93,100,1.54,CA,1703899854
533,antsiranana,-12.2787,49.2917,25.44,85,100,0.53,MG,1703899855
534,kudahuvadhoo,2.6708,72.8944,25.65,84,100,2.36,MV,1703899855
535,sumbe,-11.2061,13.8437,24.72,82,59,0.82,AO,1703899856
536,carlsbad,33.1581,-117.3506,16.65,90,75,1.34,US,1703899856
537,caspe,41.234,-0.0395,6.97,44,83,0.79,ES,1703899857
538,namibe,-15.1961,12.1522,20.14,81,84,2.64,AO,1703899858
539,hilo,19.7297,-155.09,22.92,91,100,1.54,US,1703899858
540,nurota,40.5614,65.6886,-2.33,52,0,0.96,UZ,1703899858
541,madimba,-10.4,40.3333,27.18,89,94,3.41,TZ,1703899859
542,yatagan,37.3403,28.1428,9.51,85,58,0.96,TR,1703899629
543,strathmore,51.0501,-113.3852,2.67,64,85,3.6,CA,1703899626
544,pingdingshan,33.7385,113.3012,5.66,79,0,2.31,CN,1703899742
545,boquira,-12.8231,-42.7306,21.16,94,91,0.64,BR,1703899861
546,marolambo,-20.05,48.1167,21.13,98,100,0.14,MG,1703899862
547,yangjiang,21.85,111.9667,18.89,78,91,0.72,CN,1703899863
548,riviere-du-loup,47.8304,-69.5342,-0.51,93,100,1.54,CA,1703899606
549,esquina,-30.0144,-59.5272,21.54,69,0,1.91,AR,1703899864
550,jayapura,-2.5333,140.7,29.66,67,100,2.1,ID,1703899864
551,laojunmiao,39.8333,97.7333,-0.49,17,10,3.42,CN,1703899865
552,uliastay,47.7417,96.8444,-11.74,57,99,3.34,MN,1703899865
553,ust'-barguzin,53.45,108.9833,-14.48,97,93,2.08,RU,1703899866
554,lautoka,-17.6167,177.4667,30.92,66,75,7.2,FJ,1703899866
555,vizianagaram,18.1167,83.4167,19.73,86,7,0.91,IN,1703899867
556,santyoku,37.4406,129.1708,7.78,42,98,1.08,KR,1703899867
557,constantia,44.1833,28.65,3.38,82,77,3.86,RO,1703899868
558,trebic,49.2149,15.8817,8.72,75,0,3.6,CZ,1703899868
559,thinadhoo,0.5333,72.9333,26.84,80,99,2.48,MV,1703899869
560,villa ojo de agua,-29.5,-63.6938,23.65,42,3,2.79,AR,1703899869
561,karor,31.2274,70.9492,13.18,37,99,1.76,PK,1703899870
562,homer,59.6425,-151.5483,-11.06,73,0,1.54,US,1703899870
563,iquique,-20.2208,-70.1431,21.02,81,80,2.54,CL,1703899324
564,pangody,65.85,74.4859,-10.83,93,100,10.15,RU,1703899871
565,cockburn town,21.4612,-71.1419,24.98,83,75,3.09,TC,1703899766
566,pemangkat,1.1667,108.9667,27.59,81,95,2.08,ID,1703899873
567,flin flon,54.7682,-101.865,-7.2,95,95,2.64,CA,1703899873
568,coahuayana de hidalgo,18.7,-103.6583,21.53,82,0,0.76,MX,1703899874
569,luderitz,-26.6481,15.1594,16.65,86,0,1.58,NA,1703899875
570,ust'-uda,54.1742,103.0304,-9.12,98,100,1.5,RU,1703899875
571,naze,28.3667,129.4833,19.51,75,94,6.55,JP,1703899876
572,odienne,9.51,-7.5692,19.99,15,0,1.11,CI,1703899876
573,sannicandro garganico,41.8384,15.5654,5,80,96,1.93,IT,1703899877
574,kaga bandoro,6.9896,19.1874,21.23,33,35,1.06,CF,1703899878
575,lazaro cardenas,17.9583,-102.2,22.96,75,0,1.01,MX,1703899879
576,antonio enes,-16.2325,39.9086,25.47,90,100,2.34,MZ,1703899879
577,bad duben,51.5917,12.5849,9.18,74,100,8.91,DE,1703899880
578,znamenskoye,57.1281,73.8282,-11.48,86,100,7.94,RU,1703899880
579,masterton,-40.9597,175.6575,20.49,64,70,5.65,NZ,1703899881
580,lagoa,39.05,-27.9833,15.77,69,100,8.49,PT,1703899881
581,kavak,41.0783,36.0425,-0.91,54,10,2.34,TR,1703899882
582,monrovia,6.3005,-10.7969,25.91,82,0,1.14,LR,1703899883
583,konosha,60.9736,40.257,-23.18,100,100,1.52,RU,1703899883
584,kovdor,67.5662,30.4758,-24.98,100,100,0.63,RU,1703899884
585,tabas,33.5959,56.9244,6.12,52,0,2.06,IR,1703899884
